City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
391,san andres,12.5847,-81.7006,82.42,83,75,12.66,CO,1692296836
392,malegaon,20.55,74.5333,76.44,73,100,12.88,IN,1692297035
393,howard springs,-12.497,131.047,71.51,93,36,3.44,AU,1692297036
394,ghadamis,30.1337,9.5007,91.85,15,1,13.76,LY,1692297037
395,tolanaro,-25.0319,46.9987,68.07,64,40,9.22,MG,1692297038
396,levuka,50.1834,-105.4011,80.33,26,0,6.91,CA,1692297038
397,dubbo,-32.25,148.6167,53.73,94,100,10.36,AU,1692297039
398,chukhloma,58.7525,42.6825,64.56,72,9,3.38,RU,1692297040
399,dzuunharaa,48.8523,106.4579,51.26,87,100,4.54,MN,1692297040
400,pauls valley,34.7401,-97.2223,98.91,28,0,4.61,US,1692297041
401,cidade velha,14.9167,-23.6167,82.87,78,75,11.5,CV,1692297041
402,horta,38.5333,-28.6333,78.44,91,40,20.71,PT,1692297042
403,bhawana,31.5692,72.649,95.13,38,0,5.66,PK,1692297042
404,nha trang,12.25,109.1833,82.4,78,15,5.08,VN,1692297042
405,hanzhong,33.0728,107.0303,69.66,70,36,2.77,CN,1692297008
406,isangel,-19.55,169.2667,59.11,94,40,0.0,VU,1692297043
407,urzhum,57.1141,49.9996,73.08,58,73,6.11,RU,1692297043
408,al quwayrah,29.8004,35.3116,89.6,46,47,5.1,JO,1692297043
409,kilindoni,-7.9139,39.6668,76.71,79,3,16.02,TZ,1692297044
410,san jose de guanipa,8.8872,-64.1651,93.11,42,78,1.81,VE,1692297044
411,kone,-21.0595,164.8658,59.7,89,0,3.58,NC,1692297045
412,camocim,-2.9022,-40.8411,87.69,53,24,18.81,BR,1692297045
413,prince rupert,54.3161,-130.3201,59.09,79,100,19.57,CA,1692296932
414,sebastopol,44.6,33.5333,82.0,38,0,3.0,UA,1692296777
415,lata,40.1629,-8.3327,76.91,73,100,4.7,PT,1692297046
416,lae,-6.7221,146.9847,74.57,89,78,1.83,PG,1692297046
417,mujiayingzi,42.1167,118.7833,71.94,66,96,4.92,CN,1692297047
418,labytnangi,66.6572,66.4183,59.43,83,99,4.79,RU,1692297052
419,kichmengskiy gorodok,59.9816,45.7854,64.24,81,100,3.69,RU,1692297053
420,salekhard,66.53,66.6019,59.4,81,100,5.95,RU,1692297053
421,vila franca do campo,37.7167,-25.4333,77.41,86,100,15.64,PT,1692297054
422,bayganin,48.6947,55.8742,75.61,47,95,2.48,KZ,1692297054
423,nouadhibou,20.931,-17.0347,80.58,74,98,13.8,MR,1692297055
424,corner brook,48.9667,-57.9484,75.36,52,14,6.8,CA,1692297035
425,kodinsk,58.6881,99.1844,53.47,86,86,4.29,RU,1692297056
426,nagqu,31.5,92.0,42.42,70,100,4.43,CN,1692297056
427,port arthur,38.8,121.2667,75.42,85,0,3.65,CN,1692297002
428,el alto,-4.2714,-81.2147,80.26,60,0,21.3,PE,1692297057
429,zhanaozen,43.3,52.8,82.83,29,0,13.49,KZ,1692297057
430,luwuk,-0.9516,122.7875,75.22,89,100,4.43,ID,1692297057
431,ang thong,14.6167,100.3667,85.17,65,74,5.95,TH,1692297058
432,harstad,68.799,16.5293,54.79,88,100,4.0,NO,1692297058
433,nanao,37.05,136.9667,81.28,92,26,2.13,JP,1692297059
434,yulinshi,38.2906,109.7494,69.8,43,0,5.86,CN,1692297060
435,saint-paul,-21.0096,55.2707,69.89,95,30,1.28,RE,1692297060
436,amstetten,48.1229,14.8721,75.97,85,0,3.38,AT,1692297060
437,madera,37.1666,-119.8343,103.24,27,0,7.2,US,1692297061
438,karratha,-20.7377,116.8463,67.01,37,0,13.94,AU,1692297061
439,gisborne,-38.6533,178.0042,41.83,85,25,6.29,NZ,1692297062
440,barguzin,53.6167,109.6167,51.89,93,100,9.8,RU,1692297062
441,salalah,17.0151,54.0924,78.89,94,100,5.75,OM,1692297063
442,sona,45.4388,10.8255,85.55,61,20,2.3,IT,1692297064
443,bom jardim,-7.7958,-35.5872,77.79,63,86,14.07,BR,1692297065
444,taquarituba,-23.5331,-49.2444,83.66,32,7,6.24,BR,1692297065
445,joshimath,30.5667,79.5667,71.19,90,99,0.87,IN,1692297067
446,santana,-0.0583,-51.1817,93.38,55,20,5.75,BR,1692297069
447,laojunmiao,39.8333,97.7333,62.28,32,100,4.12,CN,1692297069
448,mudgee,-32.5943,149.5871,52.79,94,100,14.7,AU,1692297070
449,lorengau,-2.0226,147.2712,79.79,85,100,8.52,PG,1692297071
450,codrington,-38.2667,141.9667,48.29,80,86,24.43,AU,1692297071
451,shadrinsk,56.0852,63.6335,66.11,57,56,6.64,RU,1692297072
452,gueckedou,8.6667,-10.25,73.65,94,27,2.77,GN,1692297072
453,shitanjing,39.2342,106.3439,70.39,22,75,3.76,CN,1692297073
454,palmas,-10.2128,-48.3603,93.07,31,0,3.44,BR,1692296952
455,lautoka,-17.6167,177.4667,69.66,94,20,4.61,FJ,1692297069
456,kizhinga,51.8462,109.9097,51.3,77,76,10.69,RU,1692297084
457,xiva,41.3783,60.3639,76.98,16,0,7.2,UZ,1692297084
458,skovorodino,53.9833,123.9167,64.15,98,100,4.81,RU,1692297085
459,nguigmi,14.2495,13.1092,87.46,56,100,9.37,NE,1692297085
460,balqash,46.8481,74.995,71.28,40,4,10.02,KZ,1692297089
461,banamba,13.55,-7.45,81.73,69,100,6.26,ML,1692297092
462,whangarei,-35.7317,174.3239,43.11,96,12,2.44,NZ,1692297095
463,lafia,8.4833,8.5167,79.38,80,100,4.25,NG,1692297095
464,kill devil hills,36.0307,-75.676,86.0,79,75,14.97,US,1692297098
465,yemetsk,63.4721,41.7941,64.56,98,100,4.97,RU,1692297100
466,kirtipur,27.6667,85.2833,73.54,85,75,2.3,NP,1692297100
467,ampanihy,-24.7,44.75,62.8,65,6,11.18,MG,1692297102
468,port blair,11.6667,92.75,82.44,83,40,8.05,IN,1692297103
469,mangalia,43.8,28.5833,74.77,78,18,8.75,RO,1692297104
470,owando,-0.4819,15.8999,79.27,67,28,2.26,CG,1692297104
471,fukuecho,32.6881,128.8419,79.56,83,96,6.58,JP,1692297104
472,rongelap,11.1635,166.8941,82.72,76,18,10.83,MH,1692297105
473,hithadhoo,-0.6,73.0833,82.04,76,100,8.21,MV,1692297105
474,amungan,15.3652,119.9582,80.37,82,100,5.46,PH,1692297106
475,vallenar,-28.5708,-70.7581,76.12,22,100,4.47,CL,1692297106
476,immingham,53.6124,-0.2222,63.12,53,100,12.66,GB,1692297107
477,volchikha,52.0333,80.3833,58.33,91,57,3.15,RU,1692297107
478,lubang,13.8584,120.124,83.12,76,24,12.84,PH,1692297108
